2020-06-20 14:19:00.7874 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 20.06.2020 14:19:00

2020-06-20 14:19:00.9113 INFO (API Server) -Try to GET Connected User's Role  - Controller : AspNetUserRolesController; Actionname: GetUserRole(...); HTTP method : HttpGet; Time: 20.06.2020 14:19:00

2020-06-20 14:19:10.8345 INFO (API Server) - Try to GET ALL books - Controller name: BooksController; Actionname: GetAll(); HTTP method : HttpGet; Time: 20.06.2020 14:19:10

2020-06-20 14:19:11.2629 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 20.06.2020 14:19:11

2020-06-20 14:19:11.2782 INFO (API Server) -Try to GET Connected User's Role  - Controller : AspNetUserRolesController; Actionname: GetUserRole(...); HTTP method : HttpGet; Time: 20.06.2020 14:19:11

2020-06-20 14:19:16.6345 INFO (API Server) -Try to GET book 208(Id) - Controller name: BooksController; Actionname: GetBook(...); HTTP method : HttpGet; Time: 20.06.2020 14:19:16

2020-06-20 14:19:16.7264 INFO (API Server) -Try to GET Editors LIST - Controller : BooksController; Actionname: GetEditors(); HTTP method : HttpGet; Time: 20.06.2020 14:19:16

2020-06-20 14:19:16.7879 INFO (API Server) - Try to GET ALL StockHistories - Controller name: StockHistoriesController; Actionname: GetBookStockHistory(); HTTP method : HttpGet; Time: 20.06.2020 14:19:16

2020-06-20 14:20:29.4941 INFO (API Server) -Try to update book 208(Id) - Controller : BooksController; Actionname: Put(...); HTTP method : HttpGet; Time: 20.06.2020 14:20:29

2020-06-20 14:20:29.6424 INFO (API Server) -Try to POST StockHistory 0 (Id) - Controller : StockHistoriesController; Actionname: PostStockHistory(...); HTTP method : HttpPost; Time: 20.06.2020 14:20:29

2020-06-20 14:20:29.7505 INFO (API Server) -Try to GET book 208(Id) - Controller name: BooksController; Actionname: GetBook(...); HTTP method : HttpGet; Time: 20.06.2020 14:20:29

2020-06-20 14:20:29.7768 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 20.06.2020 14:20:29

